Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre
1976,The Message,16.938,251,Popular,Action
1976,The Message,16.938,251,Popular,History
2009,Cabin Fever 2: Spring Fever,16.935,265,not_popular,Horror
2015,Kill Me Three Times,16.934,409,not_popular,Comedy
2015,Kill Me Three Times,16.934,409,not_popular,Thriller
2015,Kill Me Three Times,16.934,409,not_popular,Mystery
1999,Raped by an Angel 4: The Rapist's Union,16.934,4,not_popular,Thriller
2011,Fright Night,16.934,1510,below_avg,Horror
2011,Fright Night,16.934,1510,below_avg,Comedy
1993,Poetic Justice,16.934,179,Average,Romance
1993,Poetic Justice,16.934,179,Average,Drama
2018,Backstabbing for Beginners,16.932,158,below_avg,Thriller
2018,Backstabbing for Beginners,16.932,158,below_avg,Drama
2018,Backstabbing for Beginners,16.932,158,below_avg,History
2006,The Covenant,16.931,810,not_popular,Fantasy
2006,The Covenant,16.931,810,not_popular,Horror
2014,Expelled,16.929,416,not_popular,Comedy
2017,"Roman J. Israel, Esq.",16.926,991,below_avg,Drama
2017,"Roman J. Israel, Esq.",16.926,991,below_avg,Crime
2017,"Roman J. Israel, Esq.",16.926,991,below_avg,Thriller
2019,Falling Inn Love,16.924,965,Average,Romance
2019,Falling Inn Love,16.924,965,Average,Comedy
2018,Behind the Curve,16.924,219,below_avg,Documentary
1997,Inventing the Abbotts,16.924,166,below_avg,Drama
1997,Inventing the Abbotts,16.924,166,below_avg,Romance
2011,Confessions of a Brazilian Call Girl,16.918,338,below_avg,Drama
1992,Chaplin,16.915,780,Popular,Drama
2005,Urban Legends: Bloody Mary,16.915,202,not_popular,Horror
2005,Urban Legends: Bloody Mary,16.915,202,not_popular,Thriller
2000,The Legend of Bagger Vance,16.915,705,below_avg,Drama
2000,The Legend of Bagger Vance,16.915,705,below_avg,Fantasy
2015,Stalked by My Neighbor,16.913,69,not_popular,Crime
2015,Stalked by My Neighbor,16.913,69,not_popular,Thriller
2015,Stalked by My Neighbor,16.913,69,not_popular,TV Movie
2011,Geek Charming,16.913,655,Average,Comedy
2011,Geek Charming,16.913,655,Average,Drama
2011,Geek Charming,16.913,655,Average,Family
2011,Geek Charming,16.913,655,Average,TV Movie
1988,Dragon Ball: Goku's Fire Brigade,16.911,30,Average,Animation
1997,Flubber,16.911,1904,not_popular,Comedy
1997,Flubber,16.911,1904,not_popular,Family
1997,Flubber,16.911,1904,not_popular,Science Fiction
2006,Drake & Josh Go Hollywood,16.91,166,Popular,TV Movie
2006,Drake & Josh Go Hollywood,16.91,166,Popular,Family
2006,Drake & Josh Go Hollywood,16.91,166,Popular,Comedy
2006,Drake & Josh Go Hollywood,16.91,166,Popular,Adventure
2006,Drake & Josh Go Hollywood,16.91,166,Popular,Crime
2006,Drake & Josh Go Hollywood,16.91,166,Popular,Drama
